,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
591,5LL57U9xAYhM8dVP8b6bEc,0.669,0.684,7,-4.595,1,0.0585,0.252,0,0.72,0.466,96.099,audio_features,spotify:track:5LL57U9xAYhM8dVP8b6bEc,https://api.spotify.com/v1/tracks/5LL57U9xAYhM8dVP8b6bEc,https://api.spotify.com/v1/audio-analysis/5LL57U9xAYhM8dVP8b6bEc,192537,4
592,7I8EGPtqTwlC0UlCAkpYtP,0.717,0.856,4,-4.68,1,0.0565,0.118,0,0.274,0.645,89.982,audio_features,spotify:track:7I8EGPtqTwlC0UlCAkpYtP,https://api.spotify.com/v1/tracks/7I8EGPtqTwlC0UlCAkpYtP,https://api.spotify.com/v1/audio-analysis/7I8EGPtqTwlC0UlCAkpYtP,179440,4
593,5INSQI3su3J0b2H6VKoiNB,0.476,0.53,9,-7.358,1,0.0294,0.485,0,0.346,0.178,89.966,audio_features,spotify:track:5INSQI3su3J0b2H6VKoiNB,https://api.spotify.com/v1/tracks/5INSQI3su3J0b2H6VKoiNB,https://api.spotify.com/v1/audio-analysis/5INSQI3su3J0b2H6VKoiNB,297407,4
594,0DXfJ2iKRDEG7rPgssWFea,0.524,0.758,10,-9.28,1,0.0538,0.27,0.13,0.106,0.319,140.012,audio_features,spotify:track:0DXfJ2iKRDEG7rPgssWFea,https://api.spotify.com/v1/tracks/0DXfJ2iKRDEG7rPgssWFea,https://api.spotify.com/v1/audio-analysis/0DXfJ2iKRDEG7rPgssWFea,223271,4
595,0ojpEubhy4JNeVftmVuiN7,0.607,0.713,4,-5.105,1,0.03,0.56,0.0000498,0.101,0.611,124.868,audio_features,spotify:track:0ojpEubhy4JNeVftmVuiN7,https://api.spotify.com/v1/tracks/0ojpEubhy4JNeVftmVuiN7,https://api.spotify.com/v1/audio-analysis/0ojpEubhy4JNeVftmVuiN7,272533,4
596,7nsjBUVRQTUEvCReXAtVPi,0.602,0.41,11,-12.368,1,0.0391,0.213,0.00000119,0.235,0.0671,95.02,audio_features,spotify:track:7nsjBUVRQTUEvCReXAtVPi,https://api.spotify.com/v1/tracks/7nsjBUVRQTUEvCReXAtVPi,https://api.spotify.com/v1/audio-analysis/7nsjBUVRQTUEvCReXAtVPi,240158,4
597,7tbzfR8ZvZzJEzy6v0d6el,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046,audio_features,spotify:track:7tbzfR8ZvZzJEzy6v0d6el,https://api.spotify.com/v1/tracks/7tbzfR8ZvZzJEzy6v0d6el,https://api.spotify.com/v1/audio-analysis/7tbzfR8ZvZzJEzy6v0d6el,181176,4
598,1xoQjCAP6a63tZXbsMziXk,0.584,0.739,0,-4.951,1,0.369,0.117,0,0.0534,0.361,200.105,audio_features,spotify:track:1xoQjCAP6a63tZXbsMziXk,https://api.spotify.com/v1/tracks/1xoQjCAP6a63tZXbsMziXk,https://api.spotify.com/v1/audio-analysis/1xoQjCAP6a63tZXbsMziXk,243298,4
599,22E10GNgQbuGzAC9vAMgo9,0.524,0.679,9,-4.184,1,0.186,0.0862,0,0.0418,0.524,112.088,audio_features,spotify:track:22E10GNgQbuGzAC9vAMgo9,https://api.spotify.com/v1/tracks/22E10GNgQbuGzAC9vAMgo9,https://api.spotify.com/v1/audio-analysis/22E10GNgQbuGzAC9vAMgo9,174458,3
600,4rjLb3hjEGpvmSejVDiu8c,0.797,0.716,6,-5.609,0,0.26,0.478,0,0.0781,0.633,187.772,audio_features,spotify:track:4rjLb3hjEGpvmSejVDiu8c,https://api.spotify.com/v1/tracks/4rjLb3hjEGpvmSejVDiu8c,https://api.spotify.com/v1/audio-analysis/4rjLb3hjEGpvmSejVDiu8c,240197,4
601,5J3qCUclRF7NnIgA6VzNiZ,0.869,0.56,0,-8.399,1,0.0432,0.42,0,0.115,0.37,114.982,audio_features,spotify:track:5J3qCUclRF7NnIgA6VzNiZ,https://api.spotify.com/v1/tracks/5J3qCUclRF7NnIgA6VzNiZ,https://api.spotify.com/v1/audio-analysis/5J3qCUclRF7NnIgA6VzNiZ,219093,4
602,1TRgZ55GFCKSbrTb62rmra,0.868,0.635,10,-6.352,0,0.227,0.164,0,0.0898,0.621,90.019,audio_features,spotify:track:1TRgZ55GFCKSbrTb62rmra,https://api.spotify.com/v1/tracks/1TRgZ55GFCKSbrTb62rmra,https://api.spotify.com/v1/audio-analysis/1TRgZ55GFCKSbrTb62rmra,205500,4
603,6PKNPLFj5oE9eS7Og84993,0.839,0.936,11,-2.603,0,0.241,0.15,0,0.116,0.554,119.981,audio_features,spotify:track:6PKNPLFj5oE9eS7Og84993,https://api.spotify.com/v1/tracks/6PKNPLFj5oE9eS7Og84993,https://api.spotify.com/v1/audio-analysis/6PKNPLFj5oE9eS7Og84993,252001,4
604,3LlEnO0INKAExVe4JMi7p7,0.756,0.903,11,-2.088,0,0.14,0.232,0,0.0548,0.729,99.995,audio_features,spotify:track:3LlEnO0INKAExVe4JMi7p7,https://api.spotify.com/v1/tracks/3LlEnO0INKAExVe4JMi7p7,https://api.spotify.com/v1/audio-analysis/3LlEnO0INKAExVe4JMi7p7,193882,4
